i,FONTE,TEMA,ASSUNTO,LINK,SUMARIO,TAGS,KEYWORDS,TEXTO
1362,Receita Federal,Srf/Cotec 64/2002,BaseLegal,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/senhas-e-procuracoes/senhas/certificados-digitais/BaseLegal,1.414/2013 Altera a Instrução Normativa RFB nº 1.412 de 22 de novembro de 2013 que dispõe sobre a tramitação e a entrega de documentos digitais nos casos que especifica.1.281/2012 Altera o Anexo II da Instrução Normativa RFB nº 1.077 de 29 de outubro de 2010 que dispõe sobre o Centro Virtual de Atendimento da Secretaria da Receita Federal do Brasil (e-CAC).1.255/2012 Altera a Instrução Normativa RFB nº 1.077 de 29 de outubro de 2010 que dispõe sobre o Centro Virtual de Atendimento da Secretaria da Receita Federal do Brasil (e-CAC).1.075/2010 Altera a Instrução Normativa RFB nº 969 de 21 de outubro de 2009 que dispõe sobre a obrigatoriedade de apresentação de declarações com assinatura digital efetivada mediante utilização de certificado digital válido nos casos em que especifica.580/2005 Institui o Centro Virtual de Atendimento ao Contribuinte da Secretaria da Receita Federal (e-CAC).,assuntos orientacao tributaria senhas e procuracoes senhas certificados digitais BaseLegal,baselegal rfb instrução altera secretaria virtual receita outubro normativa nº dispõe,Inclui serviço no Centro Virtual de Atendimento (e-CAC) para consulta de Comprovante de Pagamento - Darf e DJE com acesso por código de acesso. Inclui novo serviço no Centro Virtual de Atendimento (e-CAC) com permissão de acesso por meio de código de acesso. Inclui novo serviço no Centro Virtual de Atendimento (e-CAC) com permissão de acesso por meio de código de acesso. Inclui novo serviço no Centro Virtual de Atendimento (e-CAC) com permissão de acesso por meio de código de acesso. Inclui novo serviço no Centro Virtual de Atendimento (e-CAC) com permissão de acesso por meio de código de acesso.
1364,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,2021,https://www.gov.br/receitafederal/pt-br/assuntos/orientacao-tributaria/pagamentos-e-parcelamentos/pagamento-do-imposto-de-renda-de-pessoa-fisica/ganho-de-capital/programa-de-apuracao-de-ganhos-de-capital-moeda-nacional/2020, ,assuntos orientacao tributaria pagamentos e parcelamentos pagamento do imposto de renda de pessoa fisica ganho de capital programa de apuracao de ganhos de capital moeda nacional 2020,2021, 
1365,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Bebidas Alcoólicas,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/regimes-especiais/bebidas-alcoolicas, ,centrais de conteudo formularios regimes especiais bebidas alcoolicas,bebidas alcoólicas, 
1366,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Cadastro Nacional da Pessoa Jurídica - CNPJ - Entidades Partidárias Municipais,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/cadastros/cadastro-nacional-da-pessoa-juridica-cnpj-entidades-partidarias-municipais, ,centrais de conteudo formularios cadastros cadastro nacional da pessoa juridica cnpj entidades partidarias municipais,cadastro nacional partidárias pessoa entidades cnpj jurídica municipais, 
1367,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Cadastro de Imóveis Rurais - Formulários do Cafir,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/cadastros/cadastro-de-imoveis-rurais-formularios-do-cafir, ,centrais de conteudo formularios cadastros cadastro de imoveis rurais formularios do cafir,cafir português brasil formulários, 
1368,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Cadastro de Imóvel Rural - CAFIR,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/cadastros/cadastro-de-imovel-rural-cafir, ,centrais de conteudo formularios cadastros cadastro de imovel rural cafir,cadastro cafir imóvel rural, 
1369,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Cadastro de Pessoas Físicas - CPF - Nome Social,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/cadastros/cadastro-de-pessoas-fisicas-cpf-nome-social, ,centrais de conteudo formularios cadastros cadastro de pessoas fisicas cpf nome social,cadastro físicas social cpf, 
1370,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Certidão Negativa - Pessoa Física Pessoa Jurídica e Imóvel Rural,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/certidao-negativa/certidao-negativa-pessoa-fisica-e-pessoa-juridica,Certidão Negativa - Pessoa Física Pessoa Jurídica e Imóvel RuralO formulário Demonstrativo MP 766/2017 para Fins de Solicitação de Certidão Positiva com Efeitos de Negativa só será exibido integralmente no navegador Internet Explorer.﻿Caso utilize um navegador diferente (Google Chrome/ Mozilla Firefox) será necessário executar o respectivo download do arquivo.,centrais de conteudo formularios certidao negativa certidao negativa pessoa fisica e pessoa juridica,positiva negativa navegador jurídica solicitação ruralo necessário imóvel utilize pessoa física certidão rural respectivo,O formulário Demonstrativo MP 766/2017 para Fins de Solicitação de Certidão Positiva com Efeitos de Negativa só será exibido integralmente no navegador Internet Explorer. ﻿Caso utilize um navegador diferente (Google Chrome/ Mozilla Firefox) será necessário executar o respectivo download do arquivo.
1371,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Comprovantes,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/comprovantes, ,centrais de conteudo formularios declaracoes e demonstrativos comprovantes,comprovantes, 
1372,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Cópia de Documentos,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/processos/solicitacao-de-copia-de-documentos, ,centrais de conteudo formularios processos solicitacao de copia de documentos,cópia documentos, 
1373,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Ausência de Movimentação Financeira,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-ausencia-de-movimentacao-financeira, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de ausencia de movimentacao financeira,ausência financeira declaração movimentação, 
1374,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Compensação,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-compensacao, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de compensacao,compensação declaração, 
1375,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Enquadramento no art 9º da Lei nº 81671991,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-enquadramento-no-art-9o-da-lei-no-8-1671991, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de enquadramento no art 9o da lei no 8 1671991,art 81671991 enquadramento lei declaração nº 9º, 
1376,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de IRPF - Solicitar Cancelamento,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-irpf-solicitar-cancelamento, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao irpf solicitar cancelamento,solicitar irpf declaração cancelamento, 
1377,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Inexistência de Ação Judicial,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-inexistencia-de-acao-judicial, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de inexistencia de acao judicial,ação declaração judicial inexistência, 
1378,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Inexistência de Bens a Inventariar ou Arrolar,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-inexistencia-de-bens-a-inventariar, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de inexistencia de bens a inventariar,inventariar inexistência declaração bens arrolar, 
1379,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Inexistência de Inventário e Arrolamento,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-inexistencia-de-inventario-e-arrolamento, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de inexistencia de inventario e arrolamento,arrolamento declaração inventário inexistência, 
1380,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Isento,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-isento, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de isento,isento declaração, 
1381,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Recebimento de Recursos Sob Forma de Doação,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-a-ser-prestada-pelas-entidades, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao a ser prestada pelas entidades,recursos doação declaração recebimento, 
1382,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de Regularização Cambial e Tributária - Dercat,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-regularizacao-cambial-e-tributaria-dercat, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de regularizacao cambial e tributaria dercat,tributária regularização cambial declaração dercat, 
1383,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Declaração de União Estável,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/declaracoes-e-demonstrativos/declaracao-de-uniao-estavel, ,centrais de conteudo formularios declaracoes e demonstrativos declaracao de uniao estavel,estável união declaração, 
1384,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Demonstrativo de Montante Parcelado,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/pagamentos-parcelamentos/demonstrativo-de-montante-parcelado, ,centrais de conteudo formularios pagamentos parcelamentos demonstrativo de montante parcelado,demonstrativo parcelado montante, 
1385,Receita Federal,Subsecretaria De Arrecadação Cadastros E Atendimento,Documento de Arrecadação de Receitas Federais - Darf,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/formularios/pagamentos-parcelamentos/documento-de-arrecadacao-de-receitas-federais-darf, ,centrais de conteudo formularios pagamentos parcelamentos documento de arrecadacao de receitas federais darf,documento federais arrecadação receitas darf, 
